user,time,pattern,X,Y,cluster
685,M,"49, 38",49, 38,0
685,M,"49, 37",49, 37,0
685,M,"49, 40",49, 40,1
685,M,"18, 45",18, 45,-1
685,M,"52, 39",52, 39,1
685,M,"42, 42",42, 42,-1
685,M,"49, 31",49, 31,2
685,M,"51, 38",51, 38,-1
685,M,"55, 38",55, 38,-1
685,M,"49, 34",49, 34,-1
685,M,"51, 40",51, 40,1
685,M,"52, 40",52, 40,1
685,M,"52, 6",52, 6,-1
685,M,"34, 48",34, 48,-1
685,M,"53, 40",53, 40,1
685,M,"38, 42",38, 42,-1
685,M,"51, 35",51, 35,3
685,M,"48, 24",48, 24,-1
685,M,"30, 52",30, 52,-1
685,M,"50, 39",50, 39,1
685,M,"55, 34",55, 34,-1
685,M,"53, 27",53, 27,-1
685,M,"47, 38",47, 38,4
685,M,"55, 20",55, 20,-1
685,M,"47, 38",47, 38,4
685,M,"51, 40",51, 40,1
685,M,"51, 42",51, 42,1
685,M,"46, 16",46, 16,-1
685,M,"22, 50",22, 50,-1
685,M,"52, 39",52, 39,1
685,M,"49, 40",49, 40,1
685,M,"47, 39",47, 39,4
685,M,"49, 31",49, 31,2
685,M,"18, 60",18, 60,-1
685,M,"36, 61",36, 61,-1
685,M,"44, 31",44, 31,-1
685,M,"50, 43",50, 43,-1
685,A,"51, 40",51, 40,1
685,A,"56, 41",56, 41,5
685,A,"51, 41",51, 41,1
685,A,"53, 38",53, 38,1
685,A,"53, 41",53, 41,1
685,A,"57, 41",57, 41,5
685,A,"49, 41",49, 41,1
685,A,"47, 34",47, 34,-1
685,A,"51, 42",51, 42,1
685,A,"21, 21",21, 21,-1
685,E,"57, 27",57, 27,-1
685,E,"50, 39",50, 39,1
685,E,"58, 8",58, 8,-1
685,E,"50, 33",50, 33,-1
685,E,"20, 7",20, 7,-1
685,E,"36, 31",36, 31,-1
685,E,"53, 39",53, 39,1
685,E,"27, 64",27, 64,-1
685,E,"46, 29",46, 29,-1
685,E,"50, 40",50, 40,1
685,E,"54, 37",54, 37,-1
685,E,"51, 36",51, 36,3
685,E,"55, 26",55, 26,-1
